#GC	Depth
48	79.66
43.2	82.02
41.2	80.14
45.4	69.35
43.6	80.83
45.4	86.97
44.6	83.74
49.2	86.56
45.4	93.12
45.4	72.62
43.6	75.78
38.8	71.81
48.4	86.53
42.6	91.43
48.6	89.92
42	78.63
41.8	67.89
44.4	73.96
45.2	77.39
44.6	72.25
47.4	88.65
40.6	90.9
47.2	84.39
38	69.81
49	75.32
47.2	84.72
45.4	80.88
42.4	68.83
43.6	72.21
48	95.67
40.2	71.52
47.4	104.7
45.8	72.88
50.2	89.82
48	112.81
47.8	92.08
48.4	78.93
48.8	86.54
38	71.54
40	57.23
44.2	69.11
37.8	82.04
42.2	83.27
44	79.3
41.8	59.29
44.4	83.07
44.2	81.66
38.4	65.9
23.4	17.68
39.8	52.03
43.8	89.36
48.8	110.04
42.8	96.5
44.2	99.41
45	101.45
44.4	90.25
45	86.13
46.8	98.43
44.8	94.77
45	93.12
49	94.37
45.6	105.25
51.6	97.47
49.6	91.64
44.8	101.01
48.2	93.13
51.4	102.94
45.2	100.97
45.8	96.74
45.2	96.27
48.4	94.18
46	78.11
49	95.52
46.4	96.86
47.8	83.36
41.6	87.91
48.4	90.06
41	98.16
45.8	93.01
43.8	81.7
42.6	88.25
44.8	84.3
44.6	87
48.2	113.28
47	90.38
40.2	77.91
46.4	100.39
43.4	99.16
40.8	63.4
42.2	70.52
45	84.23
43.4	76.23
33.6	61.17
47.6	94.5
47	100.87
44.8	91.6
40.8	76.58
42.8	75.98
46.4	100.59
49	89.04
33.6	61.58
44.6	71.96
49.4	96.11
48.2	114.49
52.8	89.86
49.6	98.36
44.2	84.48
46.8	84.32
43.6	85.55
35.4	56.79
49.6	91.83
46.8	88.82
50.4	92.85
47	107.03
43.8	91.39
35.6	76.09
43.6	69.82
38.6	55.53
41.4	65.56
43.4	59.49
41.8	74.35
45.8	91.02
46.8	96.24
46.8	100.16
46.4	83.26
41.2	78.06
44.2	90.17
43.6	80.68
44.6	80.87
43	83.99
45	100.17
43.4	95.39
44	92.48
44.2	88.64
44.8	97.34
50	105.27
51.8	100.84
44.2	79.97
47.4	98.17
46.4	90.4
42.6	82.57
44.8	99.12
45.4	88.41
45.2	86.92
49.6	116.65
44.8	76.23
46.6	103.16
45.6	110.72
44.6	94.76
40.2	74.23
37.6	39.24
40.6	74.87
46.8	83.43
44	90.61
50	86.95
46.8	93.75
49.4	103.68
49.6	105.69
46.2	112.65
42.2	68.06
48.8	86.16
49.4	108.29
49	100.22
49.6	95.64
48	94.87
46.8	87.49
47.2	105.78
48.8	90.94
48.4	104.84
52	112.19
48.2	94.84
44.4	87.78
45.2	90.91
45.4	86.12
51.2	106.95
54.4	101.19
49.4	97.02
54	106.17
46.6	90.16
45.4	120.09
40.4	81.89
44.4	82.06
49	99.35
46.8	88.53
43.8	84.31
47	100.21
46.2	96.29
45.4	94.83
44.2	83.87
47.8	94.44
45.8	85.7
49.2	76.56
48.6	101.34
46.4	99.94
53	113.59
55	107.27
50.6	107.86
49.2	79.6
49	92.8
41.2	86.26
48.2	88.14
43.4	99.78
45	80.59
41.2	96.25
47.4	74.87
50.6	96.84
48.8	102.21
48	101.01
46.8	94.78
40	73.73
44.2	76.97
44.8	77.17
41.8	77.94
47.8	98.78
44.4	98.03
47.4	76.26
47.2	103.82
47.8	106.93
50.8	115.44
52	93.08
42	82.83
46.2	88.59
40.8	76.44
42.8	80.75
49	98.87
47.6	78.13
48.6	108.86
48.8	110.9
46.6	96.09
45.8	104.89
42.6	88.02
45	94.34
49.8	106.62
47	70.89
49.4	92.42
48.2	103.77
45.8	102.68
41.6	87.08
47.2	104.85
49	99.68
47.6	106.54
44.2	84.71
31.2	54.97
39.4	73.15
39.2	71.1
40	73.19
47.6	71.19
47.6	74.3
45.4	92.63
47.4	105.72
47.6	86.74
48.8	87.39
49	105.88
48.2	95.07
48.8	97.21
48.6	90.99
49.6	88.83
47.2	84.99
47.6	90.77
47.8	106.87
40.8	77.89
41	76.13
45.8	86.63
44.6	101
42.2	74.93
41.2	80.97
42.6	74.73
43.2	77.95
46.6	98.88
50.6	120.27
50.6	97.46
49.2	115
47.8	87.3
45.6	79.3
42.4	78.63
44.2	80.57
39	70.86
48.8	85.71
40.6	100.24
44	86.28
46	97.15
49.8	88.34
47.6	94.15
41	81.88
45.8	79.03
50.6	107.19
46.2	98.36
50	100.12
47.4	94.04
49	90.48
41.2	101.89
36.4	60.99
48.6	92.52
46.6	85.9
45	78.37
44	110.92
39.8	66.82
41.4	77.75
38	84.17
46.4	112.69
44.8	98.41
48	91.69
45.2	77.78
43	83.2
45.8	76.95
39.6	76.9
44.8	102.83
48.2	102.58
46	103.85
43.4	84.94
44.4	91.39
46.6	80.61
40	72.14
42.8	75.96
40.6	73.36
43.2	91.81
45.8	80.54
43.4	96.98
51	100.13
52.4	90.87
47.8	89.6
47	102.64
45.6	103.14
43.6	68.11
47	76.75
48	100.21
43.4	78.78
49.4	107.35
50.4	104.5
47.6	103.56
49	100.03
47.8	101.84
48.6	93.13
52	116.32
53.8	100.96
48.8	117.44
45	105.08
45.4	86.09
42.8	73.63
43.6	81.16
46.6	90.12
40.6	76.33
44.2	93.5
44.8	88.18
46.8	83.6
40.4	81.43
42.4	70.67
41.8	69.13
44.6	93.22
43.4	75.31
42.6	87.23
42	81.28
42.8	68.46
46.2	75.54
41.4	106.4
40.8	76.57
42.6	86.3
48.8	109.27
43.2	93.05
44.4	80.45
32	58.5
38	88.72
35.2	62.75
41.8	87.71
44	95.95
41.8	91.8
46.2	98.95
43	81.88
44.4	76.43
46.4	81.4
45.4	90.72
40.4	78.51
47.4	98.65
50.6	89.37
47.6	102
48	92.66
43	88.32
46.6	98.61
45.6	87.34
44.6	83.5
46.2	79.38
48.4	108.94
44.8	93.95
48.4	88.35
48.6	90.3
47.6	97.84
50.2	102.94
39.2	57.6
49	89.54
49.4	108.37
48.6	90.77
44.6	94.11
48.4	91.02
48.8	111.91
48.2	94.14
45	103.19
37	63.85
37.8	53.72
42.2	68.17
39.6	83.78
49.6	127.97
47.4	78.9
46.2	95.4
48.4	102.3
44.4	103.07
44.2	82.47
46	90.47
45.2	78.32
43.8	90.39
41.8	89.22
45.8	88.41
44	89.91
38.6	69.65
48	86.18
45.8	88.44
45.6	97.74
44.8	93.05
46	99.88
46.2	88.84
44.6	89.48
45.8	84.49
45.4	79.01
42.8	98.3
38.4	78.69
46.6	89.39
34.8	62.85
44.4	82.37
48	94.22
47.8	97.34
49	112.1
47.6	96.89
47.6	114.65
48	97.68
48	102.36
47.4	85.48
47.2	94.67
48	93.98
47.4	77.57
44.6	83.58
41	79.87
46	95.52
45.4	103.07
42.6	76.17
39.4	71.59
42.8	78.52
43.8	77.63
36.2	58.27
47.2	96.22
45.8	105.51
45	103.74
45.6	92.31
38.8	89.54
47.8	111.46
46.4	89.42
46	101.25
46.8	111.76
49.8	99.67
49.6	88.41
44	87.75
44	98.66
47	88.85
46.8	99.25
41.8	85.59
41.8	82.73
44	76.46
42.2	66.77
40.6	78.36
47.8	86.94
44.4	100.54
52.6	102.7
45.8	83.5
41	67.07
46.4	67.59
48.2	76.04
47.4	111.55
49.8	126.26
41.4	97.27
44.2	84.41
39.6	85.67
48.2	86.76
45.6	90.86
50.6	96.35
50.2	112.5
46.6	90.66
48.8	79.76
46.6	83.02
45.4	73.87
47.4	89.55
50.8	103.01
49.8	95.75
50	100.91
50.2	101.67
51	106.99
45.6	98.89
51	109.93
50.8	91.45
40.8	73.5
41	84.91
36.2	74.56
37.6	78.07
41.4	75.61
38.6	67.24
35.4	59.46
38	80.49
41	85.29
41.2	73.84
41.4	92.59
45	84.81
45.6	86.42
49.4	94.48
48.2	104.7
47	95.8
45	98.22
46.8	91.63
50.2	102.41
54.6	94.39
49.6	99.33
52.4	94.86
52.6	95.76
51.4	110.3
50.2	94.54
55.4	102.45
53	107.74
47	106.62
50.4	96.05
50.6	98.36
49.8	99.82
47.2	113.43
51.8	95.55
47.6	91
49.6	103.41
53	97.11
49	100.43
49.2	98.01
51.2	95.47
48.8	107.05
50	95.95
47.4	92.54
39.8	76.17
51.2	101.02
46.8	113.65
47.4	96.93
49.2	93.87
49.6	98.01
49.2	110.46
46.6	93.05
48.4	107.69
43.6	86.8
51.6	99.93
48.4	96.35
52	109.42
51	95.07
53.6	105.39
48.4	102.66
48.6	82.07
48	95.65
50.4	104.55
47.2	101.98
49	83.41
35	66.79
44.2	80.77
45.6	100.43
44	88.67
46.6	78.94
46	88.69
43.4	95.23
46	93.46
44.2	89.01
37.4	83.32
46.8	88.4
43.4	107.27
44.4	100.05
43.8	70.97
43.8	80.44
46	96.42
46.8	89.92
47.2	83.75
42	81.46
48	85.49
43	87.59
42	82.68
48.8	89.9
46.8	94.05
48	102.53
49	100.13
47	96.65
49	98.88
45.4	74.19
33.4	62.01
47	83.77
53.2	94.51
48	89.24
47.6	98.03
44.2	95.44
42.6	91.62
43.2	73.77
50.6	89.49
46.2	75.74
49.4	100.02
36.8	69.14
50.8	99.38
48	99.43
49	100.98
49.4	88.93
50	84.66
48.4	95.03
49.4	106.02
46	94.25
49.8	95.1
50.8	102.93
49.8	117.51
46.8	83.75
50	85.36
48	107.36
40	75.78
38.8	77.13
47	81.39
45.8	88.03
46.2	98.89
47.8	105.92
48.4	98.58
47.6	92.21
45.6	95.24
45.2	80.92
47.6	74.68
40.4	61.04
43.2	97.08
50	97.95
45.2	84.02
44.4	93.08
36.4	67.46
42.2	76.76
39.6	90.52
45.8	88.22
51	112.55
45.4	80.03
42.2	80.47
49.6	89.1
48.2	95.46
42.2	76.84
48.4	100.92
49.4	102.7
47.4	120.54
50.2	91.77
47.2	100.36
46.8	92.49
49	107.92
48.8	100.79
39	73.84
48.8	90.67
47.4	84.21
42.4	84.91
49.4	94.37
46.8	88.93
47.2	92.02
49.2	96.49
38.6	79.22
45.6	74.11
45.6	88.22
39.6	87.32
48.2	87.38
45.8	77.52
42.2	66.54
44.6	84.47
42.8	73.19
36.8	80.21
45.6	84.32
45.8	92.77
45	109.61
44.6	91.32
45.8	106.71
43.8	72
39	80.86
48	91.59
48.2	115.96
48.6	96.34
46.6	106.54
46	123.1
46.6	94.25
48.2	93.21
50.8	96.4
49.8	97.24
44	88.71
49.8	115.92
49.6	106.71
50	122.27
49	95.55
40.4	66
47.4	82.84
44.8	109.77
48.8	93.8
49	102.29
48	110.17
48.2	83.98
41.2	82.71
41.2	100.89
37.4	95.53
49.6	107.33
49.2	98.61
47.2	115.86
49	93.73
42.4	69.75
42.8	75.78
37.8	76.65
40.8	59.57
27.8	44.91
36	59.84
47	93.27
48.6	97.96
37.4	69.6
43.6	96.49
43.8	94.13
43.8	70.18
47.2	95.01
46	87.25
40.6	60.28
41.6	78.66
46.6	92.06
42	92.27
41.4	79.38
41.8	90.28
42.6	81.37
43.8	69.29
47.6	88.7
37.8	73.49
40.2	104.2
42	93.18
44.8	78.43
45.8	77.79
40.4	72.85
41	72.28
46	67.84
44	62.62
45.8	84.94
45	91.32
48.2	83.45
40.2	82.09
47.6	104.96
45.4	95.41
46.6	86.46
41.6	89.46
45.4	77.93
44.2	92.29
44.6	89.86
44.6	82.29
46	81.75
52.6	89.14
44.2	88.95
49	97.8
47.6	89.23
50.2	91.86
47.8	99.34
51.4	113.23
48	95.64
51	88.24
44.2	92.71
49.6	93.59
46.2	84.92
41.4	91.39
45.6	99.43
45.4	78.4
50.2	105.37
48.6	86.84
44.8	72.01
45	55.99
46.8	92.37
39.4	83.26
45.6	85.17
39.8	91.32
43.8	84.66
45	89.18
41.2	80.17
48	97.28
44.4	85.18
45.6	91.1
47	98.14
45.8	91.16
47	80.52
50.4	102.43
48.8	111.48
43.8	82.41
46.4	81.5
46	85.82
49.2	81.88
48	94.32
42.4	86.24
50.4	95.58
41.2	80.15
47	89.8
44	94.75
48.6	80.88
47.8	87.08
44.6	82.11
47	94.57
45.6	95.54
41.2	93.91
47.4	78.14
47	80.66
48.2	96.06
48.6	91.8
45.4	96.08
48	85.17
47.4	90.32
46.2	93.17
41.4	66.98
48	84.98
38	84.88
49.2	98.09
47.4	108.42
49.8	107.53
46.2	76.32
48.8	98.07
49.4	92.22
45.8	104.96
41.2	78.79
48.8	93.93
42	85.78
39.4	63.08
39.8	60.57
45	89.52
45.8	90.92
45.4	108.23
46.8	90.29
47.4	110.42
44	80.17
47.4	91.56
46	95.93
45.2	108.25
42	85.68
47.4	86.09
43.8	95.23
34.8	57.67
33.6	60.23
46	111.36
37.2	71.74
41.4	86.68
43.6	97.56
42.6	99.58
47.8	93.19
46	106.16
43	100.41
44.6	74.88
46.2	82.78
45.2	88.32
45.4	85.49
44.4	96.63
45.2	89.37
45	87.98
44.6	86
29.8	45.08
33.4	65.27
44.6	87.89
47.8	110.15
46.6	92.29
46.2	96.71
47.2	83.67
45.8	103.24
46.4	87.63
47	90.9
43.8	80.43
46	112.11
45.8	96.83
49	94.36
51.4	93.25
48.2	96
46	94
49	85.03
44.2	67.29
41	73.06
46.2	80.16
38.2	75.27
43	79
46	85.36
43.8	87.29
45.6	90.49
42.6	84.01
45.8	70.7
44	82.05
46.4	82.26
47.6	79.32
47.4	101.24
46.4	88.16
47.4	111.96
47.6	101.23
43	88.69
47.8	99.05
50.4	103.86
49.8	95.86
46.8	95.36
44.8	85.63
45.4	87.45
45.6	87.42
46.4	80.6
45.6	92.68
29.2	53.67
44.4	84.82
44.4	81.06
43.8	105.57
44	84.12
33.2	59.47
38.4	73.84
36.4	60.54
43.6	91.74
40.8	72.72
40.8	77.57
47.4	97.85
52.8	95.4
46.4	97.22
49	116.71
34.6	56.1
44	92.25
46.6	89.42
38	62.93
37.6	62.12
46	66.96
46.2	84.75
44.4	80.28
48.8	100.14
46.2	83.39
45.2	67.78
43	65.38
44	92.78
41	82.98
46.2	82.41
44.8	75.81
43.2	100.25
49.4	104.58
52.6	114.1
44.4	90.66
47.8	109.2
47.4	99.36
50.2	105.93
42.4	76.72
46	79.02
42.2	82.62
46.8	76.26
45.6	95.39
46.2	104.65
47.2	84.61
42.2	71.77
46.6	80.38
46.4	93.37
45	93.82
40.4	92.91
41.6	89.19
42.4	75.53
47	91.44
47.8	107.69
42.4	81.38
39.4	67.6
43.4	98.89
50	111.74
41.4	75.13
39	71.81
46	99.27
40.2	75.32
46.2	88.21
41.4	85.65
47	85.07
45.2	91.44
45.2	76.88
38.6	71.13
49	95.2
49.4	84.61
51.2	87.79
40.4	82.68
41.4	75.79
47.2	87.51
42.8	80.81
47.4	96.35
43.2	99.12
48.6	105.48
46.8	85.39
47.8	95.8
41.2	82.55
37.6	57.89
49.8	96.96
50	102.12
42.8	75.55
41.6	73.67
41.2	89.68
44	96.53
43.8	93.45
44.6	94.51
44.4	88.48
41.2	73.8
43.2	79.48
46	89.79
48.4	86.48
47	86.24
42.4	70.89
41.4	81.83
41.4	69.58
45	78.05
45.4	90.13
45.8	93.72
45	91.27
45.4	82.46
48	88.1
45.4	91.99
36.2	77.04
45	78.69
43.6	78.21
43	69.78
37.6	61.68
47.2	111.65
45.4	96.16
48.4	97.08
48.2	105.01
45.6	86.92
46.8	93.63
46.8	111.19
49.6	94.52
46.4	75.55
49.6	96.72
50.2	103.98
49.4	97.61
45.8	82.63
50.8	104.02
43	107.43
43.4	97.55
42.8	73.49
46.6	90.16
46.8	108.81
39.8	78.11
39.6	61.98
44.2	96.91
47.4	81.05
47	88.51
45	90.94
46.4	94.86
43.2	95.35
43	83.35
42	74.2
44.8	88.12
42.2	90.16
43.8	105.23
45.2	83.19
43.6	72.92
46.8	79.47
43.4	75.66
43.61	38.05
46	53.03
48.4	75.48
44.8	78.05
47.8	83.87
46.4	90.2
43.6	76.24
43.6	96.09
50.6	103.05
47.2	90.61
42.2	73
42.6	72.76
41.2	67.06
44.6	97.59
46	87.63
37.6	57.16
41.6	75.06
29	60.76
35.8	54.12
40	76.52
44.2	94.86
42.6	74.18
48	91.98
47.8	73.97
41.8	78.18
42.4	74.63
45.2	100.41
41	79.3
40	82.22
44.6	88.44
47.2	91.66
48.8	89.97
46.2	103.04
47.6	74.23
46	76.99
50.4	93.82
45.6	96.84
47.4	88.38
47.4	93.69
48.4	104.44
43.4	86.6
47.4	87.71
44.2	101.88
43.8	97.11
44.4	95.63
45.4	69.54
43.8	72.63
50.6	95.75
42.8	78.91
49.2	97.75
49.8	91.96
47	96.91
47	81.63
41.6	73.38
45	89.29
44	80.02
48.6	86.04
45.6	84.66
43.6	78.32
39.2	83.84
45.4	86.58
47.8	87.11
49.8	88.8
49.4	80.21
48.2	90.93
48	101.8
49.4	89.87
48	90.74
46.2	77.49
48.4	80.19
46.4	99.38
40.8	68.87
42.6	87.14
44	95.3
43.2	66.61
30.4	48.52
31.8	41.44
45.8	84.76
51	103.94
50.2	100.99
36.4	77.6
46	99.51
48	93.08
48.6	104.18
50.4	104.46
47	85.51
45.2	97.78
50	84.64
42	87.81
50.2	100.68
46.6	94.11
48	81.36
42	71.98
41	86.43
44.8	76.37
46.6	80.82
45.2	84.35
39	71.3
41.8	70.17
46	73.89
44.2	92.84
40.8	77.47
47	111.93
45.2	87.83
43	71.14
38.8	73.27
41	69.71
44.6	82.03
48	85.95
42.4	81.97
39	66.92
44.2	93.42
42.6	87.28
46	83.81
42.4	91.74
40.4	67.6
43.2	80.99
42.2	64.53
42.6	75.4
43.4	63.14
44.6	81.03
44.4	91.93
39.2	82.19
45.8	68.7
46.6	94.7
40	83.42
41.4	66.74
45.8	86.56
47	89.83
42.8	82.67
43.4	87.7
42.4	86.71
45.8	93.68
47.4	90.31
43.6	60.44
42.4	82.5
45	77.42
43.4	89.34
42.6	85.02
44.4	70.4
48.6	75.35
47.2	79.71
41.2	77.67
42.2	73.85
44.4	80.72
46.4	89.8
47.6	80.72
36.4	57.68
45.6	86.52
45.8	83.26
45.4	83.97
46.6	75.91
47.6	87.37
42.4	77.78
42	71.1
43.2	60.67
41.8	65.79
40	73.24
43.6	77.44
43	85.84
43.6	82.84
36	71.19
39.4	58.1
35	62.6
39.6	74.33
44.6	65.46
45	87.37
48.2	71.2
47.4	89.53
47.8	85.12
46.8	90.68
40.6	80.96
49	82.81
46.4	97.29
42.6	60.23
43.2	93.64
46	78.13
43.6	79.88
44.2	87.83
41.8	87.5
42.4	80.59
42.2	80.95
43	92.29
40.2	75.86
41.8	79.31
45.6	79.68
49.2	104.99
44.2	97.51
44.8	86.01
51.8	102.13
48.8	100.75
50.8	90.97
48.8	98.03
49.2	121.47
52.8	102.06
49	93.07
52.6	99.48
49	91.42
38.4	75
40.6	82.84
40.6	77.8
45.4	107.05
46	95.38
44.8	98.75
48	74.42
48	84.43
45	84.56
43.2	82.46
42.4	82.29
37.4	79.4
45.4	68.3
42.8	89.51
36.4	59.04
38.2	56.65
49.4	92.67
46	80.34
41.4	78.26
41	90.9
43.2	85.72
46	79.69
39.4	70.64
47.2	66.5
39.4	72.93
45.6	85.53
46.6	89.41
45.4	93.04
38	64.3
40.6	78
47.8	110.46
46.8	116.36
45.6	93.4
45.6	114.02
40.8	76.34
48	78.68
38.8	69.02
38	66.12
45.2	81.53
46.8	103.29
41.6	87.36
41.4	62.09
42.8	61.72
47	91.74
47	88.12
46.8	90.41
49.2	93.19
46.2	76.44
38.2	56.42
38	69.2
47.2	92.74
49.2	69.36
45.6	79.96
41.4	87.58
45.8	88.16
45	87.78
45	92.44
45.8	85.05
28	37.69
42.6	95.16
36.2	65.21
46.6	84.33
48.6	107.77
47	103.6
47	98.99
48.6	98.68
47.4	104.02
49.2	102.71
51.2	101.43
49.8	89.78
47.6	97.83
45.4	102.76
45.4	90.48
41.8	82.21
41.2	70.37
34.6	59.03
42.8	78.48
41.6	72.79
39.6	70.72
47.8	86.99
40	79.16
46.8	94.77
47.4	113.76
50.8	112.76
52	84.49
51.8	82.39
48.2	91.07
50	96.94
46.6	81.15
49	102.26
49.8	99.57
48.4	94.76
47.8	94.44
49.2	109.02
50.6	105.98
50.6	89.75
37.8	71.56
49.2	94.28
49.8	92.89
53.6	95.36
48.8	109.22
51.2	111.6
47.6	102.31
50.4	100.65
51.8	85.86
42.6	81.96
40.4	68.23
46.4	82.18
50.2	88.82
50.4	95.43
49.4	98.57
51.4	110.08
50.8	92.31
44.4	93.23
47.4	75.93
41.2	76.62
44.6	80.45
45.2	87.77
44	97.54
45.6	84.04
45.4	81.8
38.6	70.58
42.6	92.14
43.6	82.23
29	46.39
33.8	38.22
39.8	72.44
44.8	89.96
37.8	56.56
44.2	89.13
43.4	87.69
46.4	102.06
45.2	92.29
47.6	75.49
43.4	80.7
49.6	99.6
48	91.34
42.4	77.2
42.6	83.1
37.6	75.44
38.2	73.8
45	85.54
44.6	84.03
44.8	72.33
42	87.58
44.8	84.68
47	93.06
46.2	89.2
45.2	97.09
34.8	69.17
46.4	98.71
46.2	80.92
41.8	78.98
40.8	73.95
46.4	72.65
46.4	69.53
41.6	73.48
41.2	76.39
42.6	82.62
47.4	82.93
41.8	79.59
42	91.81
44.4	98.69
44.4	89.33
39.8	68.66
44	77.59
42.4	83.48
44.6	92.32
44	75.4
42	83.89
36.4	48.54
43.4	79.44
42.8	69.94
45.6	69.65
41.6	70.86
44.6	93.81
42.8	68.73
35.4	56.6
48	85.72
46.2	88.72
37.4	74.27
43.4	86.07
44.8	73.7
46.4	79.68
44.2	78.84
41.2	73.97
44.4	80.45
41	73.29
42.6	70.83
48.4	94.03
48	103.16
49.6	93.29
35.4	59.19
44.8	83.33
48	80.87
48.4	82.1
47	81.05
46.6	86.26
48.8	90.48
46.4	83.56
46.4	92.69
45	76.74
43.8	86.08
44.2	89.97
46.6	88.13
43.8	77.42
48.4	90.72
47.4	88.07
43	66.15
42.2	71.14
41.4	90.03
47.2	75.99
45.6	68.25
42.2	69.05
41.2	76
38	64.42
37.2	65.09
38.4	60.99
41.8	80.24
43.8	91.67
44.2	79.87
39.4	80.32
43	76.4
43.2	95.13
40.2	92.06
43	79.82
48	92.13
45.4	77.33
46.2	70.2
50.4	105.82
47	98.42
43.8	77.52
47.8	100.48
47.6	85.75
44.8	93.51
49.4	88.63
45.2	82.13
43.8	91.38
44.6	85.85
48.6	75.13
42.4	76.9
46.8	99.3
37	83.8
52.2	83.18
45.6	89.38
49.4	116.46
49.6	185.3
48.6	96.39
47.6	117.44
48.4	113.46
50.2	116.44
46.6	109.65
50.8	122.1
48	100.77
47.4	110.99
49.6	101.05
50.8	104.05
48.6	105.96
48.6	92.34
49.2	95.36
47.4	95.95
46	105.45
49.4	101.51
47	112.45
50.8	122.36
49	107.98
51.8	111.44
50.2	126.18
49.6	111.73
51.4	117.26
48.4	104.08
49.6	108.58
50.8	109.9
50.2	102.57
50.2	115.18
49.4	113.46
49	99.67
48.6	111.89
51.6	115.07
44.8	73.59
42.4	82.97
47.6	92.23
46.4	89.03
47.2	80.14
48.2	91.67
39.2	76.95
44.6	83.77
47.4	81.11
40.2	62.31
49.2	77.68
44.2	85.67
49.8	86.81
46.6	102.02
35.8	60.45
47.8	88.6
41.4	75.05
46.2	71.98
45	70.36
47.2	86.66
37.6	70.86
44.4	76.84
45.2	69.77
45.2	78.84
44.6	81.45
47.8	72.02
45.6	75.65
45.4	80.6
42	85.5
45.8	71.09
40.4	63.33
44.4	84.23
46.2	82.13
45.4	113.51
45.2	108.81
42.4	82.09
45.2	69.76
44.8	80.73
40.4	83.98
43.4	90.11
45.8	87.5
46.4	80.76
41.2	77.88
42.4	76.39
40.8	69.63
43.4	78.94
42	80.81
46.2	82.93
41.2	70.62
46	88.27
44	61.37
41.4	80.66
46.4	63.71
42	60.32
39.2	70.65
43	65.74
43	64.46
40.8	59.39
37.2	68.05
41.2	67.96
42	62
43.6	73.88
42.4	68.91
43.8	83.69
41.4	82.02
48	74.23
47.2	71.72
43	89.56
42.6	83.14
44.2	74.43
43	82.44
44.4	75.76
47.2	77.95
45.2	76.17
43.4	73.48
38.4	69.48
49.2	76.67
51.2	101.17
45.4	78.81
47.8	100.77
46.4	86.08
39.8	62.62
35.6	49.97
35.4	64.79
43.4	72.09
46.6	81.97
42.4	89.91
42.2	75.73
46.2	91.14
43.8	67.14
44.4	80.53
45.4	98.19
47	82.07
46	77.87
42	73.55
46	74.43
43.2	88.78
42.6	75.92
41.4	75.85
40	73.36
45.8	86.7
46.4	88.06
42.4	82.66
37.2	65.03
41.8	84.73
44.8	81.11
41.4	77.98
41.8	99.23
43.8	83.09
35.4	67.53
42.2	70.38
45.4	88.41
41.2	67.28
38.2	59.18
41.8	74.17
41.2	86.9
45	88.88
42.6	84.51
44.4	89.27
43.2	72.39
42.8	68.47
45.2	85.17
48.8	96.62
46.6	77.08
39	65.36
44.6	74.87
46.4	118.77
48	108.69
55.2	93.41
43.8	78.68
41.8	85.56
42.4	66.4
33.8	60.49
45.6	89.25
45.4	97.37
38.6	62.53
45.2	92.6
40.8	81.03
47.4	89.58
42.8	94.22
45.4	99.05
40.2	66.52
39.6	74.09
43.6	83.77
42.2	87.61
42.2	94.22
40.2	76.77
38.4	62.09
43.4	73.94
45.6	86.48
44	79.82
44.2	77.78
47	74.64
49.4	97.83
46	84.55
47.4	86.19
48.6	95.27
46.8	78.74
53.8	83.99
47	75.79
48.4	98.07
49.4	89.83
40.6	80.37
50.2	91.97
50.4	81.85
47.6	89.79
49.6	99.82
47.4	103.07
46.4	75.58
49.2	93.81
51.8	87.83
48.4	81.87
46.6	73.24
44.6	88.53
45.6	77.29
49.6	100.59
47.6	90.27
46.2	90.87
40.8	77.18
34.6	69.89
43.8	98.07
48	86.64
47.6	94.27
45.6	77.06
49	89.67
48.2	94.84
46.8	83.95
41.2	82.43
45.2	98.25
43	82.85
40.2	78.09
43.2	74.36
45.2	70.39
43.4	67.32
48.8	70.2
43.2	82.69
47.4	93.85
52.6	106.19
51.6	106.91
47.6	88.42
51.6	108.71
45.2	92.27
51.4	97.31
47.8	86.44
46.6	86.45
46.8	103.73
47.8	109.42
46.4	96.01
49.2	84.58
47.4	82.36
41.8	61.21
48	77.57
47.2	88.13
43.6	81.53
46.4	91.79
45.2	83.99
48.6	82.21
43	72.93
36.8	67.29
46	66.27
42.2	78.04
46	86.17
46.4	87.18
50.2	94.57
44.4	96.27
47.4	71.69
49.6	97.01
43.2	90.8
48.2	86.56
48	81.33
43.8	83.67
49.4	94.54
46.8	95.58
45.8	77.18
48.2	72.07
48.4	68.3
43.2	96.77
48.8	77.32
47	75.78
49	91.77
48.6	82.49
51.4	94.63
47.6	100.61
48.6	85.43
51.4	99.18
36.8	65.05
44.4	81.25
43.2	74.65
42.8	72.15
43.2	71.18
45.8	79.61
43.8	73.28
42	85.6
41	62.69
41.2	85.31
42.2	74.44
40.6	62.36
41.4	76.53
42.6	82.46
40	74.33
44.2	86.92
34.4	70.94
40	58.08
37.4	69.82
41.2	66.86
41.2	85.88
37.6	63.13
43.6	67.53
41.8	55.08
38.4	59.81
43.4	75.96
41.8	75.46
43.6	88.93
31	52.87
37.4	60.45
39.8	85.76
46	85.7
45.4	79.97
42	65.2
32	32.6
43.4	85.28
44.6	89.67
40.6	70.28
32.6	52.9
48.6	89.52
48	98.42
50.8	101.1
48.6	97.6
48.4	81.02
47.6	97.44
49.2	124.11
49.4	114.83
42.2	71.9
40.6	57.63
44.2	92.1
47	93.12
48	87.49
48.2	85.06
42.2	67
41.4	78.86
48.8	88.03
47.4	100.61
49	77.94
41.4	57.45
46.4	91.3
39.2	69.82
42.6	72.83
42.4	80.65
39.8	60.56
44.2	70.33
41.8	70.17
39.6	78.22
43.2	78.72
45.6	82.04
44.6	65.12
41.2	83.68
44.8	92.65
44.2	97.73
43.8	72.9
42.6	90.84
44.2	86.96
41.6	71.61
44.4	92.91
42.2	69.93
42.2	77.87
46.2	81.31
49.2	95.17
